trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",20,0,-87.61161701695688,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.99}",30,0,-209.6164027115394,"{0: 16, 1: 4, 2: 5, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.985}",20,0,-52.96125349120547,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.98}",20,0,-28.549249116639487,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.975}",25,0,-256.9356284689317,"{0: 10, 1: 2, 2: 8, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.97}",25,1,-181.13758671289625,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 4}",1
7,False,"{'a': 0.5, 'e': 0.965}",25,0,-122.50401250665485,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.96}",30,0,-252.1588098371672,"{0: 15, 1: 1, 2: 9, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.955}",20,0,-87.68974320927985,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.95}",20,0,-75.40107232785071,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.945}",20,0,-102.95525766824545,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.94}",20,0,-176.1863713101242,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",30,0,-142.30945218288713,"{0: 20, 1: 0, 2: 6, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,18,-1.6668439544740248,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",30,0,-125.38810205160503,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
