trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.495}",35,0,-131.87303417365538,"{0: 26, 1: 1, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.4, 'e': 0.49}",20,0,-100.0759770329335,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.4, 'e': 0.485}",20,0,-84.15617540029064,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.4, 'e': 0.48}",20,11,-17.43708003472107,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
5,False,"{'a': 0.4, 'e': 0.475}",25,0,-116.73238624320572,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.4, 'e': 0.47}",25,0,-30.367474857133534,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.4, 'e': 0.46499999999999997}",20,0,-14.467856372559481,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.4, 'e': 0.45999999999999996}",30,0,-46.18672581626626,"{0: 26, 1: 2, 2: 0, 3: 1, 4: 1}",0
9,False,"{'a': 0.4, 'e': 0.45499999999999996}",20,7,-84.83709741360924,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
10,False,"{'a': 0.4, 'e': 0.44999999999999996}",30,0,-89.14699676566417,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.4, 'e': 0.44499999999999995}",20,0,-85.41142945163847,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.4, 'e': 0.43999999999999995}",20,0,-123.48752688684803,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
13,False,"{'a': 0.4, 'e': 0.43499999999999994}",20,0,-6.482057701799278,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.4, 'e': 0.42999999999999994}",20,0,-125.77486288246942,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",1
15,False,"{'a': 0.4, 'e': 0.42499999999999993}",20,0,-53.788076589570906,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
16,False,"{'a': 0.4, 'e': 0.41999999999999993}",25,11,-63.319184838625475,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
17,False,"{'a': 0.4, 'e': 0.4149999999999999}",35,3,-35.556518469069864,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 2}",1
18,False,"{'a': 0.4, 'e': 0.4099999999999999}",30,1,-43.14590926527134,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 1}",1
19,False,"{'a': 0.4, 'e': 0.4049999999999999}",25,0,-11.792728841287483,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.4, 'e': 0.3999999999999999}",20,0,-156.6194064552268,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
21,False,"{'a': 0.4, 'e': 0.3949999999999999}",30,0,-20.50073802252722,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.4, 'e': 0.3899999999999999}",20,0,2.4461419682650165,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
